EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,70.32
23568,DegreeBranch,67.65
21490,MartialStatus,81.53
8363,CurrentCompanyType,69.09
6165,Gender,80.09
17679,,68.39
9715,DegreeBranch,80.38
12591,,68.9
6140,,63.63
21018,,63.99
13221,DegreeBranch,78.99
23585,YearsOfExperince,73.69
22575,,82.58
6078,HighestDegree,80.48
24125,Gender,82.5
18073,,60.18
21420,,77.1
13218,DegreeBranch,78.24
8728,,62.76
21541,,57.3
12905,YearsOfExperince,80.65
19873,Gender,80.11
6947,DegreeBranch,82.59
19019,DegreeBranch,80.99
24372,,69.56
5298,Gender,80.15
18306,CurrentCompanyType,67.86
22877,,68.63
15511,,78.61
11889,LatestDegreeCGPA,81.5
9848,Gender,75.54
4944,Gender,81.29
4689,CurrentCompanyType,54.47
24333,HighestDegree,82.87
12186,EmpScore,82.82
2936,DegreeBranch,80.77
5082,YearsOfExperince,66.63
22236,EmpScore,83.7
19221,HighestDegree,82.35
20858,,54.61
16461,,69.25
22064,,66.34
3175,DegreeBranch,82.86
18407,DegreeBranch,80.68
3684,Gender,73.28
2198,,59.96
7540,Gender,79.97
12700,DegreeBranch,80.63
17503,DegreeBranch,81.51
9153,,72.31
12564,,59.04
16511,Gender,75.05
16396,,67.24
6871,HighestDegree,82.31
9376,YearsOfExperince,80.96
7865,EmpScore,79.64
20616,,68.48
8839,DegreeBranch,70.52
15788,DegreeBranch,83.13
10040,,82.46
6147,,68.19
24148,EmpScore,81.02
4187,,68.34
18097,,60.77
11617,DegreeBranch,79.8
3642,Gender,81.85
17990,,81.47
10677,DegreeBranch,80.6
2215,DegreeBranch,70.91
9784,EmpScore,81.26
13451,YearsOfExperince,86.05
16266,MartialStatus,81.1
19313,YearsOfExperince,77.48
16790,Gender,76.69
21204,HighestDegree,70.79
24019,LatestDegreeCGPA,65.56
14539,Gender,80.15
3123,HighestDegree,81.13
9647,HighestDegree,80.96
18930,YearsOfExperince,75.96
23676,,81.24
16808,,64.9
23101,Gender,81.14
3010,,50.09
4544,DegreeBranch,80.21
22861,YearsOfExperince,67.14
10897,YearsOfExperince,68.68
13475,LatestDegreeCGPA,67.26
23461,EmpScore,82.14
19877,Gender,80.07
10949,,50.78
13759,Gender,84.39
9443,YearsOfExperince,82.13
5606,EmpScore,82.07
21658,Gender,84.39
9731,,72.34
16330,YearsOfExperince,81.63
18456,,78.86
22486,Gender,76.31
4900,Gender,86.26
12433,Gender,75.96
10757,DegreeBranch,81.7
20969,CurrentCompanyType,69.95
4565,,53.84
16117,EmpScore,82.49
22266,Gender,82.78
23691,DegreeBranch,79.87
14468,Gender,81.83
9433,DegreeBranch,79.98
2730,EmpScore,81.77
13205,YearsOfExperince,81.75
5829,,70.58
2418,Gender,67.69
2634,DegreeBranch,81.55
